0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:19:15 +0900] "GET /Database/quiz05.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:19:19 +0900] "GET /Database/quiz05_info.jsp?ITEM_NO=1 HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:19:28 +0900] "GET /Database/quiz05_info.jsp?ITEM_NO=1 HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:19:35 +0900] "GET /Database/quiz05_info.jsp?ITEM_NO=1 HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:20:50 +0900] "GET /Database/quiz05.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:20:51 +0900] "GET /Database/quiz05.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:20:52 +0900] "GET /Database/quiz05_info.jsp?ITEM_NO=1 HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:21:02 +0900] "GET /Database/quiz05.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:21:03 +0900] "GET /Database/quiz05_info.jsp?ITEM_NO=1 HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:23:04 +0900] "GET /Database/quiz05.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:23:05 +0900] "GET /Database/quiz05_info.jsp?ITEM_NO=1 HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:24:24 +0900] "GET /Database/quiz05_form.jsp HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:25:04 +0900] "GET /Database/quiz05.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:27:30 +0900] "GET /JSP01/ex07.jsp HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:27:30 +0900] "GET /JSP01/images/pink-lemonade.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:27:30 +0900] "GET /JSP01/style07.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:28:15 +0900] "GET /Database/quiz05.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [14/Jul/2021:17:31:12 +0900] "GET /Database/quiz05_form.jsp HTTP/1.1" 200 1118
